codigo,nome,unidade,frequencia,primeiro_valor,ultimo_valor,origem
75,Operações de crédito com recursos livres referenciais para taxa de juros (pós-fixada) - Capital de giro - Taxa total,% a.d.,D,1994-07-04,2012-12-31 00:00:00,Sisbacen PESP300
77,Operações de crédito com recursos livres referenciais para taxa de juros (pré-fixada) - Conta garantida - Taxa total,% a.d.,D,1994-07-04,2012-12-31 00:00:00,Sisbacen PESP300
78,Saldo das operações de crédito com recursos livres referenciais para taxa de juros (pré-fixada) - Conta garantida,u.m.c. (mil),D,1993-06-01,2012-12-31 00:00:00,Sisbacen PESP300
81,Operações de crédito com recursos livres referenciais para taxa de juros (pré-fixada) - Aquisição de bens - Pessoa jurídica - Taxa total,% a.d.,D,1994-07-04,2012-12-31 00:00:00,Sisbacen PESP300
79,Operações de crédito com recursos livres referenciais para taxa de juros (pós-fixada) - Conta garantida - Taxa total,% a.d.,D,1994-07-04,2012-12-31 00:00:00,Sisbacen PESP300
80,Saldo das operações de crédito com recursos livres referenciais para taxa de juros (pós-fixada) - Conta garantida,u.m.c. (mil),D,1993-06-01,2012-12-31 00:00:00,Sisbacen PESP300
82,Saldo das operações de crédito com recursos livres referenciais para taxa de juros (pré-fixada) - Aquisição de bens - Pessoa jurídica,u.m.c. (mil),D,1993-06-01,2012-12-31 00:00:00,Sisbacen PESP300
83,Operações de crédito com recursos livres referenciais para taxa de juros (pós-fixada) - Aquisição de bens - Pessoa jurídica - Taxa total,% a.d.,D,1994-07-04,2012-12-31 00:00:00,Sisbacen PESP300
69,Operações de crédito com recursos livres referenciais para taxa de juros (pré-fixada) - Desconto de notas promissórias - Taxa total,% a.d.,D,1994-07-04,2012-12-31 00:00:00,Sisbacen PESP300
84,Saldo das operações de crédito com recursos livres referenciais para taxa de juros (pós-fixada) - Aquisição de bens - Pessoa jurídica,u.m.c. (mil),D,1993-06-01,2012-12-31 00:00:00,Sisbacen PESP300
86,Saldo das operações de crédito com recursos livres referenciais para taxa de juros (pré-fixada) - Vendor,u.m.c. (mil),D,1993-06-01,2012-12-31 00:00:00,Sisbacen PESP300
87,Operações de crédito com recursos livres referenciais para taxa de juros (pós-fixada) - Vendor - Taxa total,% a.d.,D,1994-07-04,2012-12-31 00:00:00,Sisbacen PESP300
89,Operações de crédito com recursos livres referenciais para taxa de juros (pós-fixada) - Adiantamento sobre contrato de câmbio (ACC) - Taxa total,% a.d.,D,1994-07-04,2012-12-31 00:00:00,Sisbacen PESP300
90,Saldo das operações de crédito com recursos livres referenciais para taxa de juros (pós-fixada) - Adiantamento sobre contrato de câmbio (ACC),u.m.c. (mil),D,1993-06-01,2012-12-31 00:00:00,Sisbacen PESP300
93,Operações de crédito com recursos livres referenciais para taxa de juros (pós-fixada) - Repasses externos - Taxa total,% a.d.,D,1994-07-04,2012-12-31 00:00:00,Sisbacen PESP300
91,Operações de crédito com recursos livres referenciais para taxa de juros (pós-fixada) - Export notes - Taxa total,% a.d.,D,1994-07-04,2012-12-31 00:00:00,Sisbacen PESP300
94,Saldo das operações de crédito com recursos livres referenciais para taxa de juros (pós-fixada) - Repasses externos,u.m.c. (mil),D,1993-06-01,2012-12-31 00:00:00,Sisbacen PESP300
97,Operações de crédito com recursos livres referenciais para taxa de juros (pós-fixada) - Cheque especial - Taxa total,% a.d.,D,1994-07-04,2012-12-31 00:00:00,Sisbacen PESP300
96,Saldo das operações de crédito com recursos livres referenciais para taxa de juros (pré-fixada) - Cheque especial,u.m.c. (mil),D,1993-06-01,2012-12-31 00:00:00,Sisbacen PESP300
98,Saldo das operações de crédito com recursos livres referenciais para taxa de juros (pós-fixada) - Cheque especial,u.m.c. (mil),D,1993-06-01,2012-12-31 00:00:00,Sisbacen PESP300
100,Saldo das operações de crédito com recursos livres referenciais para taxa de juros (pré-fixada) - Crédito pessoal,u.m.c. (mil),D,1993-06-01,2012-12-31 00:00:00,Sisbacen PESP300
101,Operações de crédito com recursos livres referenciais para taxa de juros (pós-fixada) - Crédito pessoal - Taxa total,% a.d.,D,1994-07-04,2012-12-31 00:00:00,Sisbacen PESP300
104,Saldo das operações de crédito com recursos livres referenciais para taxa de juros (pré-fixada) - Aquisição de outros bens - Pessoa física,u.m.c. (mil),D,1993-06-01,2012-12-31 00:00:00,Sisbacen PESP300
85,Operações de crédito com recursos livres referenciais para taxa de juros (pré-fixada) - Vendor - Taxa total,% a.d.,D,1994-07-04,2012-12-31 00:00:00,Sisbacen PESP300
106,Saldo das operações de crédito com recursos livres referenciais para taxa de juros (pós-fixada) - Aquisição de outros bens - Pessoa física,u.m.c. (mil),D,1993-06-01,2012-12-31 00:00:00,Sisbacen PESP300
88,Saldo das operações de crédito com recursos livres referenciais para taxa de juros (pós-fixada) - Vendor,u.m.c. (mil),D,1993-06-01,2012-12-31 00:00:00,Sisbacen PESP300
108,BTN/UFIR mensal,u.m.c.,M,1989-02-28,2000-09-01 00:00:00,Sisbacen PTAX860
111,Fundo de aplicações financeiras - Aplicações em operações compromissadas,u.m.c. (mil),M,1991-04-30,1995-11-01 00:00:00,Sisbacen PFAF300
109,Fundo de aplicações financeiras - Aplicações em depósitos obrigatórios,u.m.c. (mil),M,1991-04-30,1995-11-01 00:00:00,Sisbacen PFAF300
92,Saldo das operações de crédito com recursos livres referenciais para taxa de juros (pós-fixada) - Export notes,u.m.c. (mil),D,1993-06-01,2012-12-31 00:00:00,Sisbacen PESP300
112,Fundo de aplicações financeiras - Aplicações em quotas fundos desenvolvimento social,u.m.c. (mil),M,1991-04-30,1995-11-01 00:00:00,Sisbacen PFAF300
114,Fundo de aplicações financeiras - Aplicações em títulos estaduais ou municipais,u.m.c. (mil),M,1991-04-30,1995-11-01 00:00:00,Sisbacen PFAF300
113,Fundo de aplicações financeiras - Aplicações em títulos do Tesouro Nacional,u.m.c. (mil),M,1991-04-30,1995-11-01 00:00:00,Sisbacen PFAF300
95,Operações de crédito com recursos livres referenciais para taxa de juros (pré-fixada) - Cheque especial - Taxa total,% a.d.,D,1994-07-04,2012-12-31 00:00:00,Sisbacen PESP300
115,Fundo de aplicações financeiras - Aplicações em títulos privados,u.m.c. (mil),M,1991-04-30,1995-11-01 00:00:00,Sisbacen PFAF300
117,Fundo de aplicações financeiras - Aplicações em títulos vinculados a projetos agrícolas,u.m.c. (mil),M,1991-04-30,1995-11-01 00:00:00,Sisbacen PFAF300
99,Operações de crédito com recursos livres referenciais para taxa de juros (pré-fixada) - Crédito pessoal - Taxa total,% a.d.,D,1994-07-04,2012-12-31 00:00:00,Sisbacen PESP300
102,Saldo das operações de crédito com recursos livres referenciais para taxa de juros (pós-fixada) - Crédito pessoal,u.m.c. (mil),D,1993-06-01,2012-12-31 00:00:00,Sisbacen PESP300
